date,time,temperature,x_axix,y_axix,z_axix,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
10/09/2021,10:45:24 AM,96.75,7.26,-0.89,-6.29,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:26 AM,97.18,7.05,-1.11,-6.11,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:28 AM,96.82,5.73,-1.14,-6.14,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:29 AM,96.89,6.1,-1.24,-7.53,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:31 AM,97.32,6.06,-0.98,-7.3,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:33 AM,96.89,5.66,-1.08,-7.22,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:35 AM,96.93,5.47,-1.21,-7.46,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:37 AM,96.64,5.58,-1.15,-7.79,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:39 AM,94.73,5.5,-1.19,-7.55,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:41 AM,94.3,5.08,-1.04,-7.58,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:45 AM,96.24,5.46,-1.28,-8.02,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:46 AM,95.85,5.52,-1.2,-7.76,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:48 AM,95.02,5.48,-1.12,-7.7,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:50 AM,95.99,6.23,-1.08,-7.59,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:52 AM,96.39,7.29,-1.21,-7.14,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:54 AM,95.23,6.46,-0.98,-5.93,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:56 AM,94.44,8.36,-0.98,-6.89,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:58 AM,95.09,6.75,-2.99,-4.38,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:00 AM,95.49,6.76,-1.57,-6.45,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:02 AM,95.81,6.75,-1.43,-6.47,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:04 AM,94.66,5.62,-1.59,-6.5,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:15 AM,95.77,6.01,-1.85,-7.22,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:17 AM,96.28,6.02,-1.42,-7.2,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:19 AM,95.95,7.27,-1.46,-7.17,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:21 AM,96.6,6.83,-1.16,-5.23,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:24 AM,95.67,6.88,-1.65,-6.35,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:25 AM,95.23,6.78,-1.7,-6.4,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:28 AM,95.09,6.8,-1.7,-6.44,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:30 AM,94.69,6.7,-1.62,-6.39,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:32 AM,94.98,6.71,-1.56,-6.56,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:37 AM,95.7,6.76,-1.48,-6.46,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:39 AM,95.63,6.64,-1.58,-6.48,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:41 AM,95.7,6.68,-1.76,-6.05,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:43 AM,95.23,6.44,-1.71,-6.49,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:45 AM,96.46,6.56,-1.65,-6.83,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:47 AM,95.85,6.59,-1.67,-6.6,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:49 AM,95.7,6.69,-1.55,-6.5,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:51 AM,96.96,6.58,-1.76,-6.62,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:53 AM,96.89,7.83,-1.58,-6.57,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:55 AM,96.6,7.18,-0.68,-4.73,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:57 AM,95.38,7.05,0.06,-5.94,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:46:59 AM,94.95,7.04,-0.82,-6.56,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:47:01 AM,94.19,6.1,0.03,-6.4,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:47:02 AM,94.73,6.13,-0.8,-7.22,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:47:04 AM,95.49,6.09,-0.9,-7.21,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:47:06 AM,95.99,6.03,-0.98,-7.17,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:47:08 AM,96.6,6.81,-1.02,-7.24,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:47:10 AM,95.99,7.85,-0.68,-6.7,,,,,,,,,,,,,,,,,,,,,
